Airline,Flights,Delayed,Average_Arrival_Delay,Delay_Rate
Air Wisconsin Airlines Corp,95565,19522,8.013017318055773,20.42798095537069
Alaska Airlines Inc.,182705,28924,-1.180164746449194,15.830984373717193
Allegiant Air,95192,21231,9.98351752248088,22.30334481889234
American Airlines Inc.,378722,78362,6.514279603508642,20.69116660769641
Cape Air,1655,148,-1.4138972809667674,8.942598187311178
Capital Cargo International,41818,9473,6.588072122052704,22.652924577932946
Comair Inc.,113211,20631,4.860667249648886,18.223494183427405
"Commutair Aka Champlain Enterprises, Inc.",45509,14597,21.579445823902965,32.07497418093124
Compass Airlines,44680,8414,6.16063115487914,18.831692032229185
Delta Air Lines Inc.,458840,57349,-2.2250130764536658,12.498692354633423
Empire Airlines Inc.,8334,1641,8.944804415646749,19.69042476601872
Endeavor Air Inc.,116999,21358,3.4544312344549954,18.254856879118623
Envoy Air,123437,23904,4.502393933747579,19.36534426468563
ExpressJet Airlines Inc.,161955,34502,8.800351949615633,21.303448488777747
Frontier Airlines Inc.,117523,34229,14.213311436910223,29.125362694961836
"GoJet Airlines, LLC d/b/a United Express",62437,12351,6.325496100068869,19.781539792110447
Hawaiian Airlines Inc.,83375,8630,0.8513103448275862,10.350824587706146
Horizon Air,83937,12694,1.6934605716191906,15.123247197302739
JetBlue Airways,297758,81308,11.432515667085351,27.30673902968182
Mesa Airlines Inc.,149840,30535,9.088687933796049,20.37840363053924
Peninsula Airways Inc.,1123,307,7.485307212822796,27.337488869100625
Republic Airlines,197448,37803,3.4789260969976907,19.145800413273367
SkyWest Airlines Inc.,522086,99728,6.969415000593772,19.101833797496965
Southwest Airlines Co.,1331609,260350,4.519644279965065,19.551535022668066
Spirit Air Lines,174129,31285,5.171453347805363,17.966565017889035
Trans States Airlines,64664,15982,13.914852158851911,24.7154521835952
United Air Lines Inc.,614915,119644,5.764874820097087,19.456998121691615
Virgin America,17153,3440,1.7279776132454965,20.0548009094619
